CountryName	CountryCode	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Afghanistan	AFG	58.06757957	58.06757957	58.06757957	58.06757957	58.06757957	58.06757957	58.06757957	58.06757957	58.06757957	..	..
Albania	ALB	39.30656934	40.87591241	40.83941606	43.10218978	43.84306569	43.84306569	43.83211679	43.84306569	43.33211679	..	..
Algeria	DZA	17.3028962	17.29030037	17.32011051	17.34404259	17.37385273	17.37133356	17.37721162	17.38169993	17.39553436	..	..
American Samoa	ASM	25	25	24	24	24.5	24.5	24.5	24.5	24.5	..	..
Andorra	ADO	41.91489362	41.4893617	41.27659574	41.91489362	42.34042553	42.76595745	43.40425532	42.9787234	44.25531915	..	..
Angola	AGO	46.19395203	46.19395203	46.27416379	46.27416379	46.75543435	46.83564611	47.31691666	47.31691666	47.47734018	..	..
Antigua and Barbuda	ATG	20.45454545	20.45454545	20.45454545	20.45454545	20.45454545	20.45454545	20.45454545	20.45454545	20.45454545	..	..
Arab World	ARB	40.05934161	40.07817957	40.12350051	40.0634942	39.99292437	40.04298236	38.03074763	38.35342095	38.13313834	..	..
Argentina	ARG	50.35188494	51.56009632	52.63036734	52.71367966	52.54230476	53.89028352	54.18260746	54.53814645	54.51804918	..	..
Armenia	ARM	56.37513172	61.69301019	61.53494907	61.37337548	61.33825079	60.94134176	59.6452406	59.11485774	59.08324552	..	..
Aruba	ABW	11.11111111	11.11111111	11.11111111	11.11111111	11.11111111	11.11111111	11.11111111	11.11111111	11.11111111	..	..
Australia	AUS	57.94475613	56.61390469	55.38041993	54.31810786	53.24303919	51.88289965	53.32681619	52.78028715	51.62715593	..	..
Austria	AUT	39.43630419	39.17922015	39.16563734	38.77303882	38.68186167	38.57523528	38.53005306	38.35001212	38.22163793	..	..
Azerbaijan	AZE	57.56835229	57.55291213	57.56453545	57.56834933	57.57909516	57.67034456	57.69193544	57.68709623	57.70454518	..	..
"Bahamas, The"	BHS	1.298701299	1.298701299	1.298701299	1.298701299	1.498501499	1.498501499	1.398601399	1.398601399	1.398601399	..	..
Bahrain	BHR	11.75675676	11.55405405	11.2	10.78947368	11	11.28608924	11.2125163	11.16883117	11.16883117	..	..
Bangladesh	BGD	71.5295383	71.29138818	71.18383652	71.08396712	71.03019129	70.99177998	70.12368441	70.06222632	69.97003918	..	..
